read_name_str,read_lengths,mapping_qualities,avg_base_qualities,mode_base_qualities,median_base_qualities,num_overlap_aligned_bases,fraction_overlap_aligned,num_nones,fraction_nones,num_inserts,fraction_inserts,num_mismatches,fraction_mismatches,num_ambiguous
75fdd01a-d47f-414e-bf08-0df5aeac9bef,6850,60,23.287737226277372,28,25.0,6416,0.9870769230769231,93,0.013576642335766423,80,0.01167883211678832,74,0.010802919708029197,0
576c9a85-804e-4bd0-994f-21adda06118e,6731,60,19.909374535730205,28,21.0,6263,0.9635384615384616,246,0.036547318377655624,98,0.014559500817114842,98,0.014559500817114842,0
e40e256e-5235-4908-a5f9-fa6c6b18fdb9,6910,60,24.63068017366136,29,27.0,6436,0.9901538461538462,69,0.009985528219971056,100,0.01447178002894356,39,0.005643994211287988,0
7fd26c02-b5cd-4451-82bf-8f8e02f8511b,6724,60,15.636674598453302,7,14.0,6160,0.9476923076923077,348,0.05175490779298037,199,0.029595478881618086,287,0.042682926829268296,0
78f83075-7c30-4fd4-b846-4aab2cf98c9b,6768,60,17.51817375886525,20,17.0,6313,0.9712307692307692,190,0.028073286052009455,193,0.028516548463356974,163,0.024083924349881797,0
f23fd7db-9f43-4c96-938e-9949dd0c4b7f,6796,60,25.095938787522073,29,27.0,6442,0.9910769230769231,60,0.008828722778104767,75,0.01103590347263096,30,0.0044143613890523835,0
084e895c-44c8-4efe-aefc-cd94e6069dac,6721,60,21.846005058771016,29,24.0,6336,0.9747692307692307,171,0.02544264246391906,136,0.0202350840648713,118,0.01755691117393245,0
c8abaa59-5fc2-4461-8c0a-7685a6282b23,6724,60,22.335217132659132,28,25.0,6366,0.9793846153846154,141,0.020969660916121357,97,0.014425936942296252,76,0.011302795954788817,0
bd577027-da9b-4a16-b507-274bb4e590d6,6766,60,24.284658587052913,28,26.0,6438,0.9904615384615385,63,0.009311262193319538,66,0.00975465563109666,34,0.005025125628140704,0
3061ffdc-50b6-44de-bb2b-a60a54c84813,6803,60,23.594149639864767,29,26.0,6416,0.9870769230769231,86,0.01264148169925033,107,0.015728355137439365,61,0.00896663236807291,0
6a985c72-92c1-44cd-a025-9a2b97b8d606,6607,60,14.192220372332375,6,12.0,6101,0.9386153846153846,410,0.062055395792341456,245,0.037081882851521114,334,0.05055244437717572,0
b7439656-35b4-4a16-af60-a17705e51b0d,6806,60,23.22024684102263,29,26.0,6356,0.9778461538461538,154,0.022627093740816926,178,0.02615339406406112,84,0.012342051131354687,0
418c6239-d74d-4b3e-9da6-3353f3b3fa9a,6494,60,21.01385894672005,28,23.0,6165,0.9484615384615385,128,0.01971050200184786,132,0.020326455189405606,123,0.018940560517400677,0
a9bab6cf-d2a2-4b52-985d-a2eddffbad95,3658,60,24.173045379989066,29,26.0,3399,0.5229230769230769,25,0.00683433570256971,56,0.01530891197375615,19,0.00519409513395298,0
37d87207-49ce-462d-84fb-30029076351e,6740,60,23.68026706231454,29,26.0,6380,0.9815384615384616,121,0.01795252225519288,92,0.013649851632047478,58,0.008605341246290801,0
a415c8a3-392b-4bf4-a8e5-c14f1d979834,6816,60,22.476819248826292,27,25.0,6409,0.986,93,0.013644366197183098,127,0.01863262910798122,60,0.008802816901408451,0
9685e1d0-34bf-4c66-9692-56bd56e2d5c2,6791,60,22.99867471653659,29,25.0,6419,0.9875384615384616,84,0.01236931232513621,93,0.013694595788543661,49,0.007215432189662789,0
4b664aba-fd14-4211-b0d6-4a6b01caee99,6810,60,24.931718061674008,29,27.0,6436,0.9901538461538462,66,0.009691629955947136,94,0.013803230543318648,53,0.007782672540381791,0
a9fb359f-56ef-4f76-b687-24bf9abb9aa9,6755,60,21.771872686898593,29,25.0,6349,0.9767692307692307,152,0.02250185048112509,139,0.020577350111028868,138,0.020429311621021466,0
63d77674-e6fb-495e-aa69-6ead8862d4ce,6249,60,25.056329012642024,29,27.0,5971,0.9186153846153846,47,0.007521203392542807,75,0.01200192030724916,31,0.00496079372699632,0
8be7eb08-9b3c-46a3-b173-a6507ca54d70,6771,60,23.599320632107517,29,26.0,6398,0.9843076923076923,111,0.01639344262295082,100,0.014768867227883621,55,0.008122876975335992,0
3fab3364-b2c8-481f-9c94-d5591e433ab3,6792,60,24.75014723203769,28,27.0,6425,0.9884615384615385,77,0.011336866902237928,87,0.012809187279151944,38,0.0055948174322732625,0
478e54d3-4d1f-4855-97f9-e64f80ba513c,6796,60,25.545320776927603,29,27.0,6462,0.9941538461538462,38,0.005591524426133019,66,0.009711595055915245,26,0.0038257798705120657,0
40ff4013-326d-4516-9f72-a767026f76a5,6822,60,25.452799765464672,28,27.0,6453,0.9927692307692307,47,0.006889475227206098,87,0.012752858399296393,35,0.005130460275579009,0
899f0747-75ac-411f-b8f1-bcaaa2d1d0d8,6790,60,23.968924889543445,29,26.0,6422,0.988,87,0.012812960235640648,95,0.013991163475699559,45,0.0066273932253313695,0
52d4c4ef-9154-4bfe-8da7-3d61b67ec952,6787,60,23.961396787977016,29,26.0,6408,0.9858461538461538,94,0.013850007367025196,99,0.014586709886547812,62,0.009135111242080447,0
4c1700f2-66d1-4f73-9770-ef4de0edfef6,6778,60,24.205370315727354,28,26.0,6429,0.9890769230769231,71,0.01047506639126586,85,0.01254057244024786,36,0.005311301268810859,0
9d291f6a-10d6-46e7-8448-5ce7a6524588,6824,60,24.267145369284876,28,26.0,6429,0.9890769230769231,71,0.010404454865181711,113,0.01655920281359906,52,0.0076201641266119575,0
57784470-2520-4d4e-a625-a2b72022e732,6842,60,19.40529085062847,29,21.0,6254,0.9621538461538461,264,0.03858520900321544,144,0.02104647763811751,162,0.023677287342882197,0
29066a18-3b16-4812-a093-5bc2b523b086,6793,60,25.83424113057559,28,28.0,6442,0.9910769230769231,62,0.009127042543795084,73,0.010746356543500663,24,0.003533048726630355,0
91acf433-ca95-404e-b6db-2f7f3645c2eb,6794,60,23.944657050338535,28,26.0,6424,0.9883076923076923,76,0.011186340889019724,88,0.012952605239917574,49,0.007212246099499558,0
