cpg,start_hg38,end_hg38,start_T2T,end_T2T
CpG_1,207318092,207318094,206583388,206583390
CpG_2,207318412,207318414,206583708,206583710
CpG_3,207318471,207318473,206583767,206583769
CpG_4,207318809,207318811,206584105,206584107
CpG_5,207318842,207318844,206584138,206584140
CpG_6,207318856,207318858,206584152,206584154
CpG_7,207318881,207318883,206584177,206584179
CpG_8,207318883,207318885,206584179,206584181
CpG_9,207318906,207318908,206584202,206584204
CpG_10,207318932,207318934,206584228,206584230
CpG_11,207318977,207318979,206584273,206584275
CpG_12,207319009,207319011,206584305,206584307
CpG_13,207319100,207319102,206584396,206584398
CpG_14,207319112,207319114,206584408,206584410
CpG_15,207319116,207319118,206584412,206584414
CpG_16,207319651,207319653,206584947,206584949
CpG_17,207319939,207319941,206585235,206585237
CpG_18,207320084,207320086,206585380,206585382
CpG_19,207320502,207320504,206585798,206585800
CpG_20,207320601,207320603,206585897,206585899
CpG_21,207320725,207320727,206586021,206586023
CpG_22,207320825,207320827,206586121,206586123
CpG_23,207320868,207320870,206586164,206586166
CpG_24,207320873,207320875,206586169,206586171
CpG_25,207320878,207320880,206586174,206586176
CpG_26,207320880,207320882,206586176,206586178
CpG_27,207320882,207320884,206586178,206586180
CpG_28,207320884,207320886,206586180,206586182
CpG_29,207320886,207320888,206586182,206586184
CpG_30,207320888,207320890,206586184,206586186
CpG_31,207320890,207320892,206586186,206586188
CpG_32,207320892,207320894,206586188,206586190
CpG_33,207320932,207320934,206586228,206586230
CpG_34,207320991,207320993,206586287,206586289
CpG_35,207321008,207321010,206586304,206586306
CpG_36,207321032,207321034,206586328,206586330
CpG_37,207321127,207321129,206586423,206586425
CpG_38,207321158,207321160,206586454,206586456
CpG_39,207321199,207321201,206586495,206586497
CpG_40,207321201,207321203,206586497,206586499
CpG_41,207321213,207321215,206586509,206586511
CpG_42,207321215,207321217,206586511,206586513
CpG_43,207321223,207321225,206586519,206586521
CpG_44,207321241,207321243,206586537,206586539
CpG_45,207321251,207321253,206586547,206586549
CpG_46,207321283,207321285,206586579,206586581
CpG_47,207321285,207321287,206586581,206586583
CpG_48,207321296,207321298,206586592,206586594
CpG_49,207321304,207321306,206586600,206586602
CpG_50,207321312,207321314,206586608,206586610
CpG_51,207321316,207321318,206586612,206586614
CpG_52,207321332,207321334,206586628,206586630
CpG_53,207321360,207321362,206586656,206586658
CpG_54,207321371,207321373,206586667,206586669
CpG_55,207321383,207321385,206586679,206586681
CpG_56,207321388,207321390,206586684,206586686
CpG_57,207321423,207321425,206586719,206586721
CpG_58,207321474,207321476,206586770,206586772
CpG_59,207321507,207321509,206586803,206586805
CpG_60,207321522,207321524,206586818,206586820
CpG_61,207321527,207321529,206586823,206586825
CpG_62,207321534,207321536,206586830,206586832
CpG_63,207321537,207321539,206586833,206586835
CpG_64,207321551,207321553,206586847,206586849
CpG_65,207321585,207321587,206586881,206586883
CpG_66,207321611,207321613,206586907,206586909
CpG_67,207321633,207321635,206586929,206586931
CpG_68,207321662,207321664,206586958,206586960
CpG_69,207321670,207321672,206586966,206586968
CpG_70,207321693,207321695,206586989,206586991
CpG_71,207321698,207321700,206586994,206586996
CpG_72,207321702,207321704,206586998,206587000
CpG_73,207321709,207321711,206587005,206587007
CpG_74,207321717,207321719,206587013,206587015
CpG_75,207321722,207321724,206587018,206587020
CpG_76,207321725,207321727,206587021,206587023
CpG_77,207321733,207321735,206587029,206587031
CpG_78,207321736,207321738,206587032,206587034
CpG_79,207321739,207321741,206587035,206587037
CpG_80,207321741,207321743,206587037,206587039
CpG_81,207321757,207321759,206587053,206587055
CpG_82,207321760,207321762,206587056,206587058
CpG_83,207321762,207321764,206587058,206587060
CpG_84,207321771,207321773,206587067,206587069
CpG_85,207321774,207321776,206587070,206587072
CpG_86,207321776,207321778,206587072,206587074
CpG_87,207321778,207321780,206587074,206587076
CpG_88,207321782,207321784,206587078,206587080
CpG_89,207321786,207321788,206587082,206587084
CpG_90,207321792,207321794,206587088,206587090
CpG_91,207321794,207321796,206587090,206587092
CpG_92,207321797,207321799,206587093,206587095
CpG_93,207321810,207321812,206587106,206587108
CpG_94,207321823,207321825,206587119,206587121
CpG_95,207321854,207321856,206587150,206587152
CpG_96,207321858,207321860,206587154,206587156
CpG_97,207321879,207321881,206587175,206587177
CpG_98,207321882,207321884,206587178,206587180
CpG_99,207321886,207321888,206587182,206587184
CpG_100,207321921,207321923,206587217,206587219
CpG_101,207321935,207321937,206587231,206587233
CpG_102,207321946,207321948,206587242,206587244
CpG_103,207321949,207321951,206587245,206587247
CpG_104,207321975,207321977,206587271,206587273
CpG_105,207321977,207321979,206587273,206587275
CpG_106,207321981,207321983,206587277,206587279
CpG_107,207321990,207321992,206587286,206587288
CpG_108,207321993,207321995,206587289,206587291
CpG_109,207322015,207322017,206587311,206587313
CpG_110,207322018,207322020,206587314,206587316
CpG_111,207322049,207322051,206587345,206587347
CpG_112,207322078,207322080,206587374,206587376
CpG_113,207322081,207322083,206587377,206587379
CpG_114,207322102,207322104,206587398,206587400
CpG_115,207322114,207322116,206587410,206587412
CpG_116,207322138,207322140,206587434,206587436
CpG_117,207322210,207322212,206587506,206587508
CpG_118,207322217,207322219,206587513,206587515
CpG_119,207322230,207322232,206587526,206587528
CpG_120,207322244,207322246,206587540,206587542
CpG_121,207322257,207322259,206587553,206587555
CpG_122,207322435,207322437,206587731,206587733
CpG_123,207322449,207322451,206587745,206587747
CpG_124,207322466,207322468,206587762,206587764
CpG_125,207322503,207322505,206587799,206587801
CpG_126,207322567,207322569,206587863,206587865
CpG_127,207322667,207322669,206587963,206587965
CpG_128,207322700,207322702,206587996,206587998
CpG_129,207322793,207322795,206588089,206588091
CpG_130,207322878,207322880,206588174,206588176
CpG_131,207323409,207323411,206588705,206588707
CpG_132,207323613,207323615,206588909,206588911
CpG_133,207323695,207323697,206588991,206588993
CpG_134,207323863,207323865,206589159,206589161
CpG_135,207323917,207323919,206589213,206589215
CpG_136,207324141,207324143,206589437,206589439
CpG_137,207324450,207324452,206589746,206589748
