chrom	start	end	name	D6_CRoff_mc0995_fracs	D6_unedited_mc0995_fracs	dif_CRoff_unedit_D6_995
chr1	207318092	207318093	CpG_1	0.31	0.26	0.05
chr1	207318412	207318413	CpG_2	0.62	0.65	-0.03
chr1	207318471	207318472	CpG_3	0.3	0.33	-0.03
chr1	207318809	207318810	CpG_4	0.68	0.69	-0.01
chr1	207318842	207318843	CpG_5	0.32	0.34	-0.02
chr1	207318856	207318857	CpG_6	0.48	0.49	-0.01
chr1	207318881	207318882	CpG_7	0.58	0.63	-0.05
chr1	207318883	207318884	CpG_8	0.58	0.65	-0.07
chr1	207318906	207318907	CpG_9	0.52	0.49	0.03
chr1	207318932	207318933	CpG_10	0.57	0.58	-0.01
chr1	207318977	207318978	CpG_11	0.63	0.65	-0.02
chr1	207319009	207319010	CpG_12	0.46	0.51	-0.05
chr1	207319100	207319101	CpG_13	0.66	0.66	-0.0
chr1	207319112	207319113	CpG_14	0.75	0.75	-0.0
chr1	207319116	207319117	CpG_15	0.38	0.41	-0.03
chr1	207319651	207319652	CpG_16	0.65	0.67	-0.02
chr1	207319939	207319940	CpG_17	0.3	0.37	-0.07
chr1	207320084	207320085	CpG_18	0.51	0.52	-0.01
chr1	207320502	207320503	CpG_19	0.26	0.24	0.02
chr1	207320601	207320602	CpG_20	0.6	0.63	-0.03
chr1	207320725	207320726	CpG_21	0.25	0.19	0.06
chr1	207320825	207320826	CpG_22	0.11	0.09	0.02
chr1	207320868	207320869	CpG_23	0.24	0.12	0.12
chr1	207320873	207320874	CpG_24	0.15	0.06	0.09
chr1	207320878	207320879	CpG_25	0.21	0.1	0.11
chr1	207320880	207320881	CpG_26	0.24	0.12	0.12
chr1	207320882	207320883	CpG_27	0.31	0.16	0.15
chr1	207320884	207320885	CpG_28	0.42	0.2	0.22
chr1	207320886	207320887	CpG_29	0.49	0.21	0.28
chr1	207320888	207320889	CpG_30	0.41	0.19	0.22
chr1	207320890	207320891	CpG_31	0.32	0.15	0.17
chr1	207320892	207320893	CpG_32	0.3	0.12	0.18
chr1	207320932	207320933	CpG_33	0.49	0.19	0.3
chr1	207320991	207320992	CpG_34	0.44	0.1	0.34
chr1	207321008	207321009	CpG_35	0.05	0.01	0.04
chr1	207321032	207321033	CpG_36	0.29	0.01	0.28
chr1	207321127	207321128	CpG_37	0.35	0.01	0.34
chr1	207321158	207321159	CpG_38	0.1	0.0	0.1
chr1	207321199	207321200	CpG_39	0.31	0.01	0.3
chr1	207321201	207321202	CpG_40	0.25	0.0	0.25
chr1	207321213	207321214	CpG_41	0.4	0.0	0.4
chr1	207321215	207321216	CpG_42	0.43	0.0	0.43
chr1	207321223	207321224	CpG_43	0.46	0.0	0.46
chr1	207321241	207321242	CpG_44	0.25	0.0	0.25
chr1	207321251	207321252	CpG_45	0.27	0.0	0.27
chr1	207321283	207321284	CpG_46	0.22	0.0	0.22
chr1	207321285	207321286	CpG_47	0.14	0.0	0.14
chr1	207321296	207321297	CpG_48	0.28	0.0	0.28
chr1	207321304	207321305	CpG_49	0.15	0.0	0.15
chr1	207321312	207321313	CpG_50	0.3	0.0	0.3
chr1	207321316	207321317	CpG_51	0.16	0.0	0.16
chr1	207321332	207321333	CpG_52	0.29	0.0	0.29
chr1	207321360	207321361	CpG_53	0.35	0.0	0.35
chr1	207321371	207321372	CpG_54	0.34	0.0	0.34
chr1	207321383	207321384	CpG_55	0.76	0.0	0.76
chr1	207321388	207321389	CpG_56	0.58	0.0	0.58
chr1	207321423	207321424	CpG_57	0.3	0.0	0.3
chr1	207321474	207321475	CpG_58	0.24	0.0	0.24
chr1	207321507	207321508	CpG_59	0.24	0.0	0.24
chr1	207321522	207321523	CpG_60	0.23	0.0	0.23
chr1	207321527	207321528	CpG_61	0.59	0.0	0.59
chr1	207321534	207321535	CpG_62	0.6	0.0	0.6
chr1	207321537	207321538	CpG_63	0.41	0.0	0.41
chr1	207321551	207321552	CpG_64	0.56	0.0	0.56
chr1	207321585	207321586	CpG_65	0.29	0.0	0.29
chr1	207321611	207321612	CpG_66	0.25	0.0	0.25
chr1	207321633	207321634	CpG_67	0.27	0.0	0.27
chr1	207321662	207321663	CpG_68	0.37	0.0	0.37
chr1	207321670	207321671	CpG_69	0.48	0.0	0.48
chr1	207321693	207321694	CpG_70	0.67	0.0	0.67
